ref,value,footprint
BQ1,BQ24010DRC,
BUT1,BUT,
BUT2,BUT,
BUT3,BUT,
C1,0.1uF,
C2,0.1uF,
C3,0.1uF,
C4,0.1uF,
C5,0.1uF,
C6,0.1uF,
C7,0.1uF,
C8,0.1uF,
C9,0.1uF,
C10,0.1uF,
C11,0.1uF,
C12,0.1uF,
C13,0.1uF,
C14,0.1uF,
C15,0.1uF,
C16,0.1uF,
C17,0.1uF,
C18,0.1uF,
C19,0.1uF,
C20,0.1uF,
C21,0.1uF,
C22,0.1uF,
C23,0.1uF,
C24,0.1uF,
C25,0.1uF,
C26,0.1uF,
C27,0.1uF,
C28,0.1uF,
C29,0.47uF,
C30,0.47uF,
C31,1.5nF,
C32,1.5nF,
C33,1.5nF,
C34,100uF,
C35,100uF,
C36,100uF,
C37,10pF,
C38,10pF,
C39,10uF,
C40,10uF,
C41,10uF,
C42,18pF,
C43,18pF,
C44,1nF,
C45,1nF,
C46,1nF,
C47,1nF,
C48,1nF,
C49,1nF,
C50,1nF,
C51,1nF,
C52,1nF,
C53,1nF,
C54,1nF,
C55,1nF,
C56,1nF,
C57,1nF,
C58,1nF,
C59,1nF,
C60,1nF,
C61,1nF,
C62,1nF,
C63,1nF,
C64,1nF,
C65,1nF,
C66,1nF,
C67,1nF,
C68,1uF,
C69,47nF,
C70,47nF,
C71,47nF,
C72,47nF,
C73,47nF,
C74,47nF,
C75,47nF,
C76,47nF,
C77,47nF,
C78,47nF,
C79,47nF,
C80,47nF,
C81,47nF,
C82,47nF,
C83,47nF,
C84,47nF,
C85,47nF,
C86,47nF,
C87,47nF,
C88,47nF,
C89,47nF,
C90,47nF,
C91,47nF,
C92,47nF,
C93,47pF,
C94,47pF,
C95,47uF,
C96,47uF,
D1,DIODE,
D2,DIODE,
D3,DIODE,
D4,DIODE,
D5,DIODE,
D6,DONE,
D7,Green,
D8,LED,
D9,Power,
D10,Red,
IC1,TPS75003,
IC2,XOSC,
IC3,XOSC,
L1,5uH,
L2,5uH,
MCP1,MCP1700T,
OSC1,8Mhz,
P1,CONN_16X2,
P2,CONN_2,
P3,CONN_2,
P4,CONN_2,
P5,CONN_32,
P6,CONN_32,
P7,CONN_32,
P8,CONN_32,
P9,CONN_3X2,
P10,CONN_4X2,
P11,CONN_6,
P12,CONN_7X2,
Q1,MOSFET_P,
Q2,MOSFET_P,
Q3,NPN,
Q4,NPN,
R1,1.5k,
R2,1.5k,
R3,10,
R4,10k,
R5,10k,
R6,10k,
R7,10k,
R8,10k,
R9,10k,
R10,10k,
R11,10k,
R12,10k,
R13,10k,
R14,10k,
R15,10k,
R16,154k,
R17,1k,
R18,1k,
R19,1k,
R20,1k,
R21,1k,
R22,2.2k,
R23,200,
R24,200,
R25,200,
R26,22,
R27,22,
R28,365k,
R29,36k,
R30,390,
R31,4.7k,
R32,4.7k,
R33,4.7k,
R34,47k,
R35,47m,
R36,47m,
R37,619k,
R38,619k,
S1,SWITCH,
SD1,SD,
U1,DG4053A,
U2,MT48LC16M,
U3,STM32F103ZE,
U4,XC3S250EPQ208,xilinx_devices-PQ208
U5,XCF04S,
USB1,USB,
